"Country or Area","Year(s)","Variant","Value"
"Burundi","2085","Instant replacement","21200.66"
"Burundi","2085","Zero migration","43750.035"
"Burundi","2085","Constant mortality","35911.574"
"Burundi","2085","No change","77876.019"
"Burundi","2085","Momentum","18911.511"
"Burundi","2084","Medium","43487.467"
"Burundi","2084","High","53349.581"
"Burundi","2084","Low","34914.524"
"Burundi","2084","Constant fertility","91817.42"
"Burundi","2084","Instant replacement","21147.787"
"Burundi","2084","Zero migration","43248.763"
"Burundi","2084","Constant mortality","35671.325"
"Burundi","2084","No change","75724.53"
"Burundi","2084","Momentum","18911.677"
"Burundi","2083","Medium","42977.567"
"Burundi","2083","High","52488.385"
"Burundi","2083","Low","34676.3"
"Burundi","2083","Constant fertility","88897.588"
"Burundi","2083","Instant replacement","21090.565"
"Burundi","2083","Zero migration","42743.414"
"Burundi","2083","Constant mortality","35422.799"
"Burundi","2083","No change","73631.903"
"Burundi","2083","Momentum","18907.915"
"Burundi","2082","Medium","42463.972"
"Burundi","2082","High","51631.532"
"Burundi","2082","Low","34430.083"
"Burundi","2082","Constant fertility","86071.755"
"Burundi","2082","Instant replacement","21028.951"
"Burundi","2082","Zero migration","42234.355"
"Burundi","2082","Constant mortality","35166.257"
"Burundi","2082","No change","71596.622"
"Burundi","2082","Momentum","18900.034"
"Burundi","2081","Medium","41947.055"
"Burundi","2081","High","50779.315"
"Burundi","2081","Low","34176.199"
"Burundi","2081","Constant fertility","83337.096"
"Burundi","2081","Instant replacement","20962.962"
"Burundi","2081","Zero migration","41721.97"
"Burundi","2081","Constant mortality","34902.04"
"Burundi","2081","No change","69617.285"
"Burundi","2081","Momentum","18887.904"
"Burundi","2080","Medium","41427.153"
"Burundi","2080","High","49932.012"
"Burundi","2080","Low","33914.94"
"Burundi","2080","Constant fertility","80690.82"
"Burundi","2080","Instant replacement","20892.658"
"Burundi","2080","Zero migration","41206.585"
"Burundi","2080","Constant mortality","34630.404"
"Burundi","2080","No change","67692.481"
"Burundi","2080","Momentum","18871.476"
"Burundi","2079","Medium","40904.571"
"Burundi","2079","High","49089.879"
"Burundi","2079","Low","33646.551"
"Burundi","2079","Constant fertility","78130.088"
"Burundi","2079","Instant replacement","20818.057"
"Burundi","2079","Zero migration","40688.511"
"Burundi","2079","Constant mortality","34351.592"
"Burundi","2079","No change","65820.734"
"Burundi","2079","Momentum","18850.663"
"Burundi","2078","Medium","40379.533"
"Burundi","2078","High","48253.053"
"Burundi","2078","Low","33371.221"
"Burundi","2078","Constant fertility","75652.14"
"Burundi","2078","Instant replacement","20739.304"
"Burundi","2078","Zero migration","40167.977"
"Burundi","2078","Constant mortality","34065.771"
"Burundi","2078","No change","64000.597"
"Burundi","2078","Momentum","18825.511"
"Burundi","2077","Medium","39852.133"
"Burundi","2077","High","47421.48"
"Burundi","2077","Low","33089.075"
"Burundi","2077","Constant fertility","73254.316"
"Burundi","2077","Instant replacement","20656.711"
"Burundi","2077","Zero migration","39645.069"
"Burundi","2077","Constant mortality","33773.07"
"Burundi","2077","No change","62230.757"
"Burundi","2077","Momentum","18796.293"
"Burundi","2076","Medium","39322.423"
"Burundi","2076","High","46594.995"
"Burundi","2076","Low","32800.21"
"Burundi","2076","Constant fertility","70934.093"
"Burundi","2076","Instant replacement","20570.711"
"Burundi","2076","Zero migration","39119.85"
"Burundi","2076","Constant mortality","33473.6"
"Burundi","2076","No change","60509.965"
"Burundi","2076","Momentum","18763.395"
"Burundi","2075","Medium","38790.494"
"Burundi","2075","High","45773.517"
"Burundi","2075","Low","32504.754"
"Burundi","2075","Constant fertility","68688.984"
"Burundi","2075","Instant replacement","20481.669"
"Burundi","2075","Zero migration","38592.409"
"Burundi","2075","Constant mortality","33167.503"
"Burundi","2075","No change","58836.952"
"Burundi","2075","Momentum","18727.162"
"Burundi","2074","Medium","38256.475"
"Burundi","2074","High","44957.071"
"Burundi","2074","Low","32202.833"
"Burundi","2074","Constant fertility","66516.52"
"Burundi","2074","Instant replacement","20389.696"
"Burundi","2074","Zero migration","38062.875"
"Burundi","2074","Constant mortality","32854.898"
"Burundi","2074","No change","57210.422"
"Burundi","2074","Momentum","18687.656"
"Burundi","2073","Medium","37720.653"
"Burundi","2073","High","44145.893"
"Burundi","2073","Low","31894.662"
"Burundi","2073","Constant fertility","64414.315"
"Burundi","2073","Instant replacement","20294.946"
"Burundi","2073","Zero migration","37531.534"
"Burundi","2073","Constant mortality","32536.01"
"Burundi","2073","No change","55629.063"
"Burundi","2073","Momentum","18644.987"
"Burundi","2072","Medium","37183.402"
"Burundi","2072","High","43340.275"
"Burundi","2072","Low","31580.637"
"Burundi","2072","Constant fertility","62380.063"
"Burundi","2072","Instant replacement","20197.905"
"Burundi","2072","Zero migration","36998.774"
"Burundi","2072","Constant mortality","32211.21"
"Burundi","2072","No change","54091.608"
"Burundi","2072","Momentum","18599.638"
"Burundi","2071","Medium","36645.249"
"Burundi","2071","High","42540.624"
"Burundi","2071","Low","31261.194"
"Burundi","2071","Constant fertility","60411.556"
"Burundi","2071","Instant replacement","20099.109"
"Burundi","2071","Zero migration","36465.09"
"Burundi","2071","Constant mortality","31880.934"
"Burundi","2071","No change","52596.82"
"Burundi","2071","Momentum","18552.161"
"Burundi","2070","Medium","36106.549"
"Burundi","2070","High","41747.242"
"Burundi","2070","Low","30936.68"
"Burundi","2070","Constant fertility","58506.628"
"Burundi","2070","Instant replacement","19998.996"
"Burundi","2070","Zero migration","35930.852"
"Burundi","2070","Constant mortality","31545.505"
"Burundi","2070","No change","51143.447"
"Burundi","2070","Momentum","18502.951"
"Burundi","2069","Medium","35567.556"
