"Country or Area","Year(s)","Variant","Value"
"Liberia","2060","Constant fertility","14446.301"
"Liberia","2060","Instant replacement","7594.499"
"Liberia","2060","Zero migration","11143.985"
"Liberia","2060","Constant mortality","10120.703"
"Liberia","2060","No change","13440.709"
"Liberia","2060","Momentum","7586.255"
"Liberia","2059","Medium","10701.094"
"Liberia","2059","High","12119.298"
"Liberia","2059","Low","9383.682"
"Liberia","2059","Constant fertility","14069.306"
"Liberia","2059","Instant replacement","7552.648"
"Liberia","2059","Zero migration","10985.548"
"Liberia","2059","Constant mortality","10009.037"
"Liberia","2059","No change","13127.133"
"Liberia","2059","Momentum","7549.969"
"Liberia","2058","Medium","10551.251"
"Liberia","2058","High","11896.74"
"Liberia","2058","Low","9295.901"
"Liberia","2058","Constant fertility","13702.469"
"Liberia","2058","Instant replacement","7509.75"
"Liberia","2058","Zero migration","10826.621"
"Liberia","2058","Constant mortality","9895.746"
"Liberia","2058","No change","12820.686"
"Liberia","2058","Momentum","7512.41"
"Liberia","2057","Medium","10400.921"
"Liberia","2057","High","11676.081"
"Liberia","2057","Low","9206.003"
"Liberia","2057","Constant fertility","13345.572"
"Liberia","2057","Instant replacement","7465.572"
"Liberia","2057","Zero migration","10667.278"
"Liberia","2057","Constant mortality","9780.872"
"Liberia","2057","No change","12521.255"
"Liberia","2057","Momentum","7473.323"
"Liberia","2056","Medium","10250.16"
"Liberia","2056","High","11457.369"
"Liberia","2056","Low","9114.014"
"Liberia","2056","Constant fertility","12998.432"
"Liberia","2056","Instant replacement","7419.806"
"Liberia","2056","Zero migration","10507.57"
"Liberia","2056","Constant mortality","9664.444"
"Liberia","2056","No change","12228.713"
"Liberia","2056","Momentum","7432.374"
"Liberia","2055","Medium","10099.01"
"Liberia","2055","High","11240.653"
"Liberia","2055","Low","9019.958"
"Liberia","2055","Constant fertility","12660.817"
"Liberia","2055","Instant replacement","7372.209"
"Liberia","2055","Zero migration","10347.552"
"Liberia","2055","Constant mortality","9546.517"
"Liberia","2055","No change","11942.941"
"Liberia","2055","Momentum","7389.331"
"Liberia","2054","Medium","9947.544"
"Liberia","2054","High","11025.99"
"Liberia","2054","Low","8923.886"
"Liberia","2054","Constant fertility","12332.51"
"Liberia","2054","Instant replacement","7322.701"
"Liberia","2054","Zero migration","10187.271"
"Liberia","2054","Constant mortality","9427.141"
"Liberia","2054","No change","11663.785"
"Liberia","2054","Momentum","7344.085"
"Liberia","2053","Medium","9795.825"
"Liberia","2053","High","10813.412"
"Liberia","2053","Low","8825.861"
"Liberia","2053","Constant fertility","12013.234"
"Liberia","2053","Instant replacement","7271.283"
"Liberia","2053","Zero migration","10026.804"
"Liberia","2053","Constant mortality","9306.391"
"Liberia","2053","No change","11391.09"
"Liberia","2053","Momentum","7296.636"
"Liberia","2052","Medium","9643.903"
"Liberia","2052","High","10602.98"
"Liberia","2052","Low","8725.941"
"Liberia","2052","Constant fertility","11702.658"
"Liberia","2052","Instant replacement","7217.96"
"Liberia","2052","Zero migration","9866.234"
"Liberia","2052","Constant mortality","9184.352"
"Liberia","2052","No change","11124.653"
"Liberia","2052","Momentum","7246.979"
"Liberia","2051","Medium","9491.862"
"Liberia","2051","High","10394.717"
"Liberia","2051","Low","8624.195"
"Liberia","2051","Constant fertility","11400.452"
"Liberia","2051","Instant replacement","7162.732"
"Liberia","2051","Zero migration","9705.614"
"Liberia","2051","Constant mortality","9061.113"
"Liberia","2051","No change","10864.239"
"Liberia","2051","Momentum","7195.137"
"Liberia","2050","Medium","9339.752"
"Liberia","2050","High","10188.65"
"Liberia","2050","Low","8520.69"
"Liberia","2050","Constant fertility","11106.287"
"Liberia","2050","Instant replacement","7105.625"
"Liberia","2050","Zero migration","9545.007"
"Liberia","2050","Constant mortality","8936.741"
"Liberia","2050","No change","10609.642"
"Liberia","2050","Momentum","7141.142"
"Liberia","2049","Medium","9187.639"
"Liberia","2049","High","9984.803"
"Liberia","2049","Low","8415.507"
"Liberia","2049","Constant fertility","10819.912"
"Liberia","2049","Instant replacement","7046.634"
"Liberia","2049","Zero migration","9384.489"
"Liberia","2049","Constant mortality","8811.327"
"Liberia","2049","No change","10360.702"
"Liberia","2049","Momentum","7084.967"
"Liberia","2048","Medium","9035.585"
"Liberia","2048","High","9783.198"
"Liberia","2048","Low","8308.722"
"Liberia","2048","Constant fertility","10541.095"
"Liberia","2048","Instant replacement","6985.75"
"Liberia","2048","Zero migration","9224.113"
"Liberia","2048","Constant mortality","8684.928"
"Liberia","2048","No change","10117.271"
"Liberia","2048","Momentum","7026.623"
"Liberia","2047","Medium","8883.6"
"Liberia","2047","High","9583.794"
"Liberia","2047","Low","8200.391"
"Liberia","2047","Constant fertility","10269.57"
"Liberia","2047","Instant replacement","6923.062"
"Liberia","2047","Zero migration","9063.894"
"Liberia","2047","Constant mortality","8557.57"
"Liberia","2047","No change","9879.163"
"Liberia","2047","Momentum","6966.176"
"Liberia","2046","Medium","8731.698"
"Liberia","2046","High","9386.525"
"Liberia","2046","Low","8090.528"
"Liberia","2046","Constant fertility","10005.065"
"Liberia","2046","Instant replacement","6858.707"
"Liberia","2046","Zero migration","8903.857"
"Liberia","2046","Constant mortality","8429.282"
"Liberia","2046","No change","9646.196"
"Liberia","2046","Momentum","6903.773"
"Liberia","2045","Medium","8579.902"
"Liberia","2045","High","9191.376"
"Liberia","2045","Low","7979.228"
"Liberia","2045","Constant fertility","9747.362"
"Liberia","2045","Instant replacement","6792.78"
"Liberia","2045","Zero migration","8744.013"
"Liberia","2045","Constant mortality","8300.088"
"Liberia","2045","No change","9418.213"
"Liberia","2045","Momentum","6839.495"
"Liberia","2044","Medium","8428.251"
"Liberia","2044","High","8998.309"
"Liberia","2044","Low","7866.56"
"Liberia","2044","Constant fertility","9496.212"
"Liberia","2044","Instant replacement","6725.436"
"Liberia","2044","Zero migration","8584.421"
"Liberia","2044","Constant mortality","8170.069"
"Liberia","2044","No change","9195.042"
"Liberia","2044","Momentum","6773.506"
"Liberia","2043","Medium","8276.851"
"Liberia","2043","High","8807.338"
"Liberia","2043","Low","7752.655"
"Liberia","2043","Constant fertility","9251.41"
"Liberia","2043","Instant replacement","6656.712"
"Liberia","2043","Zero migration","8425.17"
"Liberia","2043","Constant mortality","8039.3"
"Liberia","2043","No change","8976.578"
"Liberia","2043","Momentum","6705.837"
"Liberia","2042","Medium","8125.779"
"Liberia","2042","High","8618.477"
"Liberia","2042","Low","7637.666"
"Liberia","2042","Constant fertility","9012.782"
"Liberia","2042","Instant replacement","6586.46"
"Liberia","2042","Zero migration","8266.346"
"Liberia","2042","Constant mortality","7907.911"
"Liberia","2042","No change","8762.683"
"Liberia","2042","Momentum","6636.347"
"Liberia","2041","Medium","7975.165"
"Liberia","2041","High","8431.79"
"Liberia","2041","Low","7521.775"
"Liberia","2041","Constant fertility","8780.148"
"Liberia","2041","Instant replacement","6514.488"
"Liberia","2041","Zero migration","8108.096"
"Liberia","2041","Constant mortality","7776.019"
"Liberia","2041","No change","8553.254"
"Liberia","2041","Momentum","6564.807"
"Liberia","2040","Medium","7825.131"
"Liberia","2040","High","8247.277"
"Liberia","2040","Low","7405.131"
"Liberia","2040","Constant fertility","8553.366"
"Liberia","2040","Instant replacement","6440.705"
"Liberia","2040","Zero migration","7950.532"
"Liberia","2040","Constant mortality","7643.744"
"Liberia","2040","No change","8348.201"
"Liberia","2040","Momentum","6491.138"
"Liberia","2039","Medium","7675.748"
"Liberia","2039","High","8065.025"
"Liberia","2039","Low","7287.814"
"Liberia","2039","Constant fertility","8332.269"
"Liberia","2039","Instant replacement","6365.18"
"Liberia","2039","Zero migration","7793.725"
"Liberia","2039","Constant mortality","7511.174"
"Liberia","2039","No change","8147.422"
"Liberia","2039","Momentum","6415.41"
"Liberia","2038","Medium","7527.085"
"Liberia","2038","High","7885.006"
"Liberia","2038","Low","7169.938"
"Liberia","2038","Constant fertility","8116.686"
"Liberia","2038","Instant replacement","6288.21"
"Liberia","2038","Zero migration","7637.755"
"Liberia","2038","Constant mortality","7378.403"
"Liberia","2038","No change","7950.804"
"Liberia","2038","Momentum","6337.916"
"Liberia","2037","Medium","7379.195"
"Liberia","2037","High","7707.012"
"Liberia","2037","Low","7051.763"
"Liberia","2037","Constant fertility","7906.411"
"Liberia","2037","Instant replacement","6210.273"
"Liberia","2037","Zero migration","7482.69"
"Liberia","2037","Constant mortality","7245.505"
"Liberia","2037","No change","7758.213"
"Liberia","2037","Momentum","6259.158"
"Liberia","2036","Medium","7232.149"
"Liberia","2036","High","7530.813"
"Liberia","2036","Low","6933.622"
"Liberia","2036","Constant fertility","7701.213"
"Liberia","2036","Instant replacement","6131.926"
"Liberia","2036","Zero migration","7328.556"
"Liberia","2036","Constant mortality","7112.576"
"Liberia","2036","No change","7569.496"
"Liberia","2036","Momentum","6179.704"
"Liberia","2035","Medium","7085.999"
"Liberia","2035","High","7356.232"
"Liberia","2035","Low","6815.764"
"Liberia","2035","Constant fertility","7500.914"
"Liberia","2035","Instant replacement","6053.724"
"Liberia","2035","Zero migration","7175.438"
"Liberia","2035","Constant mortality","6979.713"
"Liberia","2035","No change","7384.533"
"Liberia","2035","Momentum","6100.107"
"Liberia","2034","Medium","6940.812"
"Liberia","2034","High","7183.237"
"Liberia","2034","Low","6698.325"
"Liberia","2034","Constant fertility","7305.365"
"Liberia","2034","Instant replacement","5975.864"
"Liberia","2034","Zero migration","7023.426"
"Liberia","2034","Constant mortality","6846.99"
"Liberia","2034","No change","7203.237"
"Liberia","2034","Momentum","6020.585"
"Liberia","2033","Medium","6796.689"
"Liberia","2033","High","7011.992"
"Liberia","2033","Low","6581.288"
"Liberia","2033","Constant fertility","7114.525"
"Liberia","2033","Instant replacement","5898.545"
"Liberia","2033","Zero migration","6872.58"
"Liberia","2033","Constant mortality","6714.517"
"Liberia","2033","No change","7025.598"
"Liberia","2033","Momentum","5941.351"
"Liberia","2032","Medium","6653.703"
"Liberia","2032","High","6842.858"
"Liberia","2032","Low","6464.487"
"Liberia","2032","Constant fertility","6928.348"
"Liberia","2032","Instant replacement","5822.196"
"Liberia","2032","Zero migration","6723.007"
"Liberia","2032","Constant mortality","6582.38"
"Liberia","2032","No change","6851.606"
"Liberia","2032","Momentum","5862.835"
"Liberia","2031","Medium","6511.969"
"Liberia","2031","High","6676.284"
"Liberia","2031","Low","6347.611"
"Liberia","2031","Constant fertility","6746.828"
"Liberia","2031","Instant replacement","5747.286"
"Liberia","2031","Zero migration","6574.785"
"Liberia","2031","Constant mortality","6450.708"
"Liberia","2031","No change","6681.289"
"Liberia","2031","Momentum","5785.536"
"Liberia","2030","Medium","6371.553"
"Liberia","2030","High","6512.644"
"Liberia","2030","Low","6230.465"
"Liberia","2030","Constant fertility","6569.973"
"Liberia","2030","Instant replacement","5674.189"
"Liberia","2030","Zero migration","6428.029"
"Liberia","2030","Constant mortality","6319.581"
"Liberia","2030","No change","6514.675"
"Liberia","2030","Momentum","5709.833"
"Liberia","2029","Medium","6232.543"
"Liberia","2029","High","6352.145"
"Liberia","2029","Low","6113.009"
"Liberia","2029","Constant fertility","6397.763"
"Liberia","2029","Instant replacement","5602.202"
"Liberia","2029","Zero migration","6282.812"
"Liberia","2029","Constant mortality","6189.112"
"Liberia","2029","No change","6351.784"
"Liberia","2029","Momentum","5635.104"
"Liberia","2028","Medium","6094.999"
"Liberia","2028","High","6194.84"
"Liberia","2028","Low","5995.309"
"Liberia","2028","Constant fertility","6230.178"
"Liberia","2028","Instant replacement","5531.204"
"Liberia","2028","Zero migration","6139.208"
"Liberia","2028","Constant mortality","6059.364"
"Liberia","2028","No change","6192.617"
"Liberia","2028","Momentum","5561.243"
"Liberia","2027","Medium","5959.024"
"Liberia","2027","High","6040.726"
"Liberia","2027","Low","5877.538"
"Liberia","2027","Constant fertility","6067.188"
"Liberia","2027","Instant replacement","5462.714"
"Liberia","2027","Zero migration","5997.293"
"Liberia","2027","Constant mortality","5930.433"
"Liberia","2027","No change","6037.179"
"Liberia","2027","Momentum","5489.679"
"Liberia","2026","Medium","5824.726"
"Liberia","2026","High","5889.772"
"Liberia","2026","Low","5759.864"
"Liberia","2026","Constant fertility","5908.792"
"Liberia","2026","Instant replacement","5398.738"
"Liberia","2026","Zero migration","5857.145"
"Liberia","2026","Constant mortality","5802.399"
"Liberia","2026","No change","5885.489"
"Liberia","2026","Momentum","5422.3"
"Liberia","2025","Medium","5692.195"
"Liberia","2025","High","5741.993"
"Liberia","2025","Low","5642.393"
"Liberia","2025","Constant fertility","5755.002"
"Liberia","2025","Instant replacement","5340.171"
"Liberia","2025","Zero migration","5718.826"
"Liberia","2025","Constant mortality","5675.343"
"Liberia","2025","No change","5737.578"
"Liberia","2025","Momentum","5359.946"
"Liberia","2024","Medium","5561.375"
"Liberia","2024","High","5597.514"
"Liberia","2024","Low","5525.207"
"Liberia","2024","Constant fertility","5605.868"
"Liberia","2024","Instant replacement","5288.463"
"Liberia","2024","Zero migration","5582.43"
"Liberia","2024","Constant mortality","5549.355"
"Liberia","2024","No change","5593.517"
"Liberia","2024","Momentum","5303.985"
"Liberia","2023","Medium","5432.271"
"Liberia","2023","High","5456.511"
"Liberia","2023","Low","5408.284"
"Liberia","2023","Constant fertility","5461.442"
"Liberia","2023","Instant replacement","5241.658"
"Liberia","2023","Zero migration","5448.027"
"Liberia","2023","Constant mortality","5424.493"
"Liberia","2023","No change","5453.383"
"Liberia","2023","Momentum","5252.597"
"Liberia","2022","Medium","5305.117"
"Liberia","2022","High","5319.276"
"Liberia","2022","Low","5291.514"
"Liberia","2022","Constant fertility","5321.843"
"Liberia","2022","Instant replacement","5193.107"
"Liberia","2022","Zero migration","5315.704"
"Liberia","2022","Constant mortality","5300.871"
"Liberia","2022","No change","5317.266"
"Liberia","2022","Momentum","5199.571"
"Liberia","2021","Medium","5180.203"
"Liberia","2021","High","5186.176"
"Liberia","2021","Low","5174.731"
"Liberia","2021","Constant fertility","5187.201"
"Liberia","2021","Instant replacement","5133.839"
"Liberia","2021","Zero migration","5185.557"
"Liberia","2021","Constant mortality","5178.569"
"Liberia","2021","No change","5185.316"
"Liberia","2021","Momentum","5136.521"
"Liberia","2020","Medium","5057.681"
"Liberia","2020","High","5057.681"
"Liberia","2020","Low","5057.681"
"Liberia","2020","Constant fertility","5057.681"
"Liberia","2020","Instant replacement","5057.681"
"Liberia","2020","Zero migration","5057.681"
"Liberia","2020","Constant mortality","5057.681"
"Liberia","2020","No change","5057.681"
"Liberia","2020","Momentum","5057.681"
"Liberia","2019","Medium","4937.374"
"Liberia","2019","High","4937.374"
"Liberia","2019","Low","4937.374"
"Liberia","2019","Constant fertility","4937.374"
"Liberia","2019","Instant replacement","4937.374"
"Liberia","2019","Zero migration","4937.374"
"Liberia","2019","Constant mortality","4937.374"
"Liberia","2019","No change","4937.374"
"Liberia","2019","Momentum","4937.374"
"Liberia","2018","Medium","4818.973"
"Liberia","2018","High","4818.973"
"Liberia","2018","Low","4818.973"
"Liberia","2018","Constant fertility","4818.973"
"Liberia","2018","Instant replacement","4818.973"
"Liberia","2018","Zero migration","4818.973"
"Liberia","2018","Constant mortality","4818.973"
"Liberia","2018","No change","4818.973"
"Liberia","2018","Momentum","4818.973"
"Liberia","2017","Medium","4702.226"
"Liberia","2017","High","4702.226"
"Liberia","2017","Low","4702.226"
"Liberia","2017","Constant fertility","4702.226"
"Liberia","2017","Instant replacement","4702.226"
"Liberia","2017","Zero migration","4702.226"
"Liberia","2017","Constant mortality","4702.226"
"Liberia","2017","No change","4702.226"
"Liberia","2017","Momentum","4702.226"
"Liberia","2016","Medium","4586.787"
"Liberia","2016","High","4586.787"
"Liberia","2016","Low","4586.787"
"Liberia","2016","Constant fertility","4586.787"
"Liberia","2016","Instant replacement","4586.787"
"Liberia","2016","Zero migration","4586.787"
"Liberia","2016","Constant mortality","4586.787"
"Liberia","2016","No change","4586.787"
"Liberia","2016","Momentum","4586.787"
"Liberia","2015","Medium","4472.23"
"Liberia","2015","High","4472.23"
"Liberia","2015","Low","4472.23"
"Liberia","2015","Constant fertility","4472.23"
"Liberia","2015","Instant replacement","4472.23"
"Liberia","2015","Zero migration","4472.23"
"Liberia","2015","Constant mortality","4472.23"
"Liberia","2015","No change","4472.23"
"Liberia","2015","Momentum","4472.23"
"Liberia","2014","Medium","4359.506"
"Liberia","2014","High","4359.506"
"Liberia","2014","Low","4359.506"
"Liberia","2014","Constant fertility","4359.506"
"Liberia","2014","Instant replacement","4359.506"
"Liberia","2014","Zero migration","4359.506"
"Liberia","2014","Constant mortality","4359.506"
"Liberia","2014","No change","4359.506"
"Liberia","2014","Momentum","4359.506"
"Liberia","2013","Medium","4248.334"
"Liberia","2013","High","4248.334"
"Liberia","2013","Low","4248.334"
"Liberia","2013","Constant fertility","4248.334"
"Liberia","2013","Instant replacement","4248.334"
"Liberia","2013","Zero migration","4248.334"
"Liberia","2013","Constant mortality","4248.334"
"Liberia","2013","No change","4248.334"
"Liberia","2013","Momentum","4248.334"
"Liberia","2012","Medium","4135.659"
"Liberia","2012","High","4135.659"
"Liberia","2012","Low","4135.659"
"Liberia","2012","Constant fertility","4135.659"
"Liberia","2012","Instant replacement","4135.659"
"Liberia","2012","Zero migration","4135.659"
"Liberia","2012","Constant mortality","4135.659"
"Liberia","2012","No change","4135.659"
"Liberia","2012","Momentum","4135.659"
"Liberia","2011","Medium","4017.443"
"Liberia","2011","High","4017.443"
"Liberia","2011","Low","4017.443"
"Liberia","2011","Constant fertility","4017.443"
"Liberia","2011","Instant replacement","4017.443"
"Liberia","2011","Zero migration","4017.443"
"Liberia","2011","Constant mortality","4017.443"
"Liberia","2011","No change","4017.443"
"Liberia","2011","Momentum","4017.443"
"Liberia","2010","Medium","3891.356"
"Liberia","2010","High","3891.356"
"Liberia","2010","Low","3891.356"
"Liberia","2010","Constant fertility","3891.356"
"Liberia","2010","Instant replacement","3891.356"
"Liberia","2010","Zero migration","3891.356"
"Liberia","2010","Constant mortality","3891.356"
"Liberia","2010","No change","3891.356"
"Liberia","2010","Momentum","3891.356"
"Liberia","2009","Medium","3754.133"
"Liberia","2009","High","3754.133"
"Liberia","2009","Low","3754.133"
"Liberia","2009","Constant fertility","3754.133"
"Liberia","2009","Instant replacement","3754.133"
"Liberia","2009","Zero migration","3754.133"
"Liberia","2009","Constant mortality","3754.133"
"Liberia","2009","No change","3754.133"
"Liberia","2009","Momentum","3754.133"
"Liberia","2008","Medium","3607.86"
"Liberia","2008","High","3607.86"
"Liberia","2008","Low","3607.86"
"Liberia","2008","Constant fertility","3607.86"
"Liberia","2008","Instant replacement","3607.86"
"Liberia","2008","Zero migration","3607.86"
"Liberia","2008","Constant mortality","3607.86"
"Liberia","2008","No change","3607.86"
"Liberia","2008","Momentum","3607.86"
"Liberia","2007","Medium","3461.911"
"Liberia","2007","High","3461.911"
"Liberia","2007","Low","3461.911"
"Liberia","2007","Constant fertility","3461.911"
"Liberia","2007","Instant replacement","3461.911"
"Liberia","2007","Zero migration","3461.911"
"Liberia","2007","Constant mortality","3461.911"
"Liberia","2007","No change","3461.911"
"Liberia","2007","Momentum","3461.911"
"Liberia","2006","Medium","3329.211"
"Liberia","2006","High","3329.211"
"Liberia","2006","Low","3329.211"
"Liberia","2006","Constant fertility","3329.211"
"Liberia","2006","Instant replacement","3329.211"
"Liberia","2006","Zero migration","3329.211"
"Liberia","2006","Constant mortality","3329.211"
"Liberia","2006","No change","3329.211"
"Liberia","2006","Momentum","3329.211"
"Liberia","2005","Medium","3218.116"
"Liberia","2005","High","3218.116"
"Liberia","2005","Low","3218.116"
"Liberia","2005","Constant fertility","3218.116"
"Liberia","2005","Instant replacement","3218.116"
"Liberia","2005","Zero migration","3218.116"
"Liberia","2005","Constant mortality","3218.116"
"Liberia","2005","No change","3218.116"
"Liberia","2005","Momentum","3218.116"
"Liberia","2004","Medium","3135.651"
"Liberia","2004","High","3135.651"
"Liberia","2004","Low","3135.651"
"Liberia","2004","Constant fertility","3135.651"
"Liberia","2004","Instant replacement","3135.651"
"Liberia","2004","Zero migration","3135.651"
"Liberia","2004","Constant mortality","3135.651"
"Liberia","2004","No change","3135.651"
"Liberia","2004","Momentum","3135.651"
"Liberia","2003","Medium","3077.058"
"Liberia","2003","High","3077.058"
"Liberia","2003","Low","3077.058"
"Liberia","2003","Constant fertility","3077.058"
"Liberia","2003","Instant replacement","3077.058"
"Liberia","2003","Zero migration","3077.058"
"Liberia","2003","Constant mortality","3077.058"
"Liberia","2003","No change","3077.058"
"Liberia","2003","Momentum","3077.058"
"Liberia","2002","Medium","3024.729"
"Liberia","2002","High","3024.729"
"Liberia","2002","Low","3024.729"
"Liberia","2002","Constant fertility","3024.729"
"Liberia","2002","Instant replacement","3024.729"
"Liberia","2002","Zero migration","3024.729"
"Liberia","2002","Constant mortality","3024.729"
"Liberia","2002","No change","3024.729"
"Liberia","2002","Momentum","3024.729"
"Liberia","2001","Medium","2953.927"
"Liberia","2001","High","2953.927"
"Liberia","2001","Low","2953.927"
"Liberia","2001","Constant fertility","2953.927"
"Liberia","2001","Instant replacement","2953.927"
"Liberia","2001","Zero migration","2953.927"
"Liberia","2001","Constant mortality","2953.927"
"Liberia","2001","No change","2953.927"
"Liberia","2001","Momentum","2953.927"
"Liberia","2000","Medium","2848.456"
"Liberia","2000","High","2848.456"
"Liberia","2000","Low","2848.456"
"Liberia","2000","Constant fertility","2848.456"
"Liberia","2000","Instant replacement","2848.456"
"Liberia","2000","Zero migration","2848.456"
"Liberia","2000","Constant mortality","2848.456"
"Liberia","2000","No change","2848.456"
"Liberia","2000","Momentum","2848.456"
"Liberia","1999","Medium","2699.712"
"Liberia","1999","High","2699.712"
"Liberia","1999","Low","2699.712"
"Liberia","1999","Constant fertility","2699.712"
"Liberia","1999","Instant replacement","2699.712"
"Liberia","1999","Zero migration","2699.712"
"Liberia","1999","Constant mortality","2699.712"
"Liberia","1999","No change","2699.712"
"Liberia","1999","Momentum","2699.712"
"Liberia","1998","Medium","2517.481"
"Liberia","1998","High","2517.481"
"Liberia","1998","Low","2517.481"
"Liberia","1998","Constant fertility","2517.481"
"Liberia","1998","Instant replacement","2517.481"
"Liberia","1998","Zero migration","2517.481"
"Liberia","1998","Constant mortality","2517.481"
"Liberia","1998","No change","2517.481"
"Liberia","1998","Momentum","2517.481"
"Liberia","1997","Medium","2326.202"
"Liberia","1997","High","2326.202"
"Liberia","1997","Low","2326.202"
"Liberia","1997","Constant fertility","2326.202"
"Liberia","1997","Instant replacement","2326.202"
"Liberia","1997","Zero migration","2326.202"
"Liberia","1997","Constant mortality","2326.202"
"Liberia","1997","No change","2326.202"
"Liberia","1997","Momentum","2326.202"
"Liberia","1996","Medium","2160.478"
"Liberia","1996","High","2160.478"
"Liberia","1996","Low","2160.478"
"Liberia","1996","Constant fertility","2160.478"
"Liberia","1996","Instant replacement","2160.478"
"Liberia","1996","Zero migration","2160.478"
"Liberia","1996","Constant mortality","2160.478"
"Liberia","1996","No change","2160.478"
"Liberia","1996","Momentum","2160.478"
"Liberia","1995","Medium","2044.661"
"Liberia","1995","High","2044.661"
"Liberia","1995","Low","2044.661"
"Liberia","1995","Constant fertility","2044.661"
"Liberia","1995","Instant replacement","2044.661"
"Liberia","1995","Zero migration","2044.661"
"Liberia","1995","Constant mortality","2044.661"
"Liberia","1995","No change","2044.661"
"Liberia","1995","Momentum","2044.661"
"Liberia","1994","Medium","1986.493"
"Liberia","1994","High","1986.493"
"Liberia","1994","Low","1986.493"
"Liberia","1994","Constant fertility","1986.493"
"Liberia","1994","Instant replacement","1986.493"
"Liberia","1994","Zero migration","1986.493"
"Liberia","1994","Constant mortality","1986.493"
"Liberia","1994","No change","1986.493"
"Liberia","1994","Momentum","1986.493"
"Liberia","1993","Medium","1976.699"
"Liberia","1993","High","1976.699"
"Liberia","1993","Low","1976.699"
"Liberia","1993","Constant fertility","1976.699"
"Liberia","1993","Instant replacement","1976.699"
"Liberia","1993","Zero migration","1976.699"
"Liberia","1993","Constant mortality","1976.699"
"Liberia","1993","No change","1976.699"
"Liberia","1993","Momentum","1976.699"
"Liberia","1992","Medium","2001.624"
"Liberia","1992","High","2001.624"
"Liberia","1992","Low","2001.624"
"Liberia","1992","Constant fertility","2001.624"
"Liberia","1992","Instant replacement","2001.624"
"Liberia","1992","Zero migration","2001.624"
"Liberia","1992","Constant mortality","2001.624"
"Liberia","1992","No change","2001.624"
"Liberia","1992","Momentum","2001.624"
"Liberia","1991","Medium","2040.139"
"Liberia","1991","High","2040.139"
"Liberia","1991","Low","2040.139"
"Liberia","1991","Constant fertility","2040.139"
"Liberia","1991","Instant replacement","2040.139"
"Liberia","1991","Zero migration","2040.139"
"Liberia","1991","Constant mortality","2040.139"
"Liberia","1991","No change","2040.139"
"Liberia","1991","Momentum","2040.139"
"Liberia","1990","Medium","2075.912"
"Liberia","1990","High","2075.912"
"Liberia","1990","Low","2075.912"
"Liberia","1990","Constant fertility","2075.912"
"Liberia","1990","Instant replacement","2075.912"
"Liberia","1990","Zero migration","2075.912"
"Liberia","1990","Constant mortality","2075.912"
"Liberia","1990","No change","2075.912"
"Liberia","1990","Momentum","2075.912"
"Liberia","1989","Medium","2106.431"
"Liberia","1989","High","2106.431"
"Liberia","1989","Low","2106.431"
"Liberia","1989","Constant fertility","2106.431"
"Liberia","1989","Instant replacement","2106.431"
"Liberia","1989","Zero migration","2106.431"
"Liberia","1989","Constant mortality","2106.431"
"Liberia","1989","No change","2106.431"
"Liberia","1989","Momentum","2106.431"
"Liberia","1988","Medium","2134.097"
"Liberia","1988","High","2134.097"
"Liberia","1988","Low","2134.097"
"Liberia","1988","Constant fertility","2134.097"
"Liberia","1988","Instant replacement","2134.097"
"Liberia","1988","Zero migration","2134.097"
"Liberia","1988","Constant mortality","2134.097"
"Liberia","1988","No change","2134.097"
"Liberia","1988","Momentum","2134.097"
"Liberia","1987","Medium","2153.316"
"Liberia","1987","High","2153.316"
"Liberia","1987","Low","2153.316"
"Liberia","1987","Constant fertility","2153.316"
"Liberia","1987","Instant replacement","2153.316"
"Liberia","1987","Zero migration","2153.316"
"Liberia","1987","Constant mortality","2153.316"
"Liberia","1987","No change","2153.316"
"Liberia","1987","Momentum","2153.316"
"Liberia","1986","Medium","2158.429"
"Liberia","1986","High","2158.429"
"Liberia","1986","Low","2158.429"
"Liberia","1986","Constant fertility","2158.429"
"Liberia","1986","Instant replacement","2158.429"
"Liberia","1986","Zero migration","2158.429"
"Liberia","1986","Constant mortality","2158.429"
"Liberia","1986","No change","2158.429"
"Liberia","1986","Momentum","2158.429"
"Liberia","1985","Medium","2145.754"
"Liberia","1985","High","2145.754"
"Liberia","1985","Low","2145.754"
"Liberia","1985","Constant fertility","2145.754"
"Liberia","1985","Instant replacement","2145.754"
"Liberia","1985","Zero migration","2145.754"
"Liberia","1985","Constant mortality","2145.754"
"Liberia","1985","No change","2145.754"
"Liberia","1985","Momentum","2145.754"
"Liberia","1984","Medium","2111.671"
"Liberia","1984","High","2111.671"
"Liberia","1984","Low","2111.671"
"Liberia","1984","Constant fertility","2111.671"
"Liberia","1984","Instant replacement","2111.671"
"Liberia","1984","Zero migration","2111.671"
"Liberia","1984","Constant mortality","2111.671"
"Liberia","1984","No change","2111.671"
"Liberia","1984","Momentum","2111.671"
"Liberia","1983","Medium","2057.227"
"Liberia","1983","High","2057.227"
"Liberia","1983","Low","2057.227"
"Liberia","1983","Constant fertility","2057.227"
"Liberia","1983","Instant replacement","2057.227"
"Liberia","1983","Zero migration","2057.227"
"Liberia","1983","Constant mortality","2057.227"
"Liberia","1983","No change","2057.227"
"Liberia","1983","Momentum","2057.227"
"Liberia","1982","Medium","1989.483"
"Liberia","1982","High","1989.483"
"Liberia","1982","Low","1989.483"
